symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2017-05-18 00:00:00+00:00,152.54,153.34,151.13,151.27,33159664,36.1934746553,36.3832922751,35.8589211004,35.8921391838,132638656,0.0,1.0
AAPL,2017-05-19 00:00:00+00:00,153.06,153.98,152.63,153.38,26733798,36.3168561081,36.5351463709,36.2148291375,36.3927831561,106935192,0.0,1.0
AAPL,2017-05-22 00:00:00+00:00,153.99,154.58,152.91,154.0,22340069,36.5375190912,36.6775095858,36.2812653044,36.5398918114,89360276,0.0,1.0
AAPL,2017-05-23 00:00:00+00:00,153.8,154.9,153.31,154.9,19430358,36.4924374065,36.7534366337,36.3761741143,36.7534366337,77721432,0.0,1.0
AAPL,2017-05-24 00:00:00+00:00,153.34,154.17,152.67,153.84,19118319,36.3832922751,36.5802280556,36.2243200185,36.5019282874,76473276,0.0,1.0
AAPL,2017-05-25 00:00:00+00:00,153.87,154.35,153.03,153.73,19044463,36.5090464482,36.6229370201,36.3097379474,36.4758283647,76177852,0.0,1.0
AAPL,2017-05-26 00:00:00+00:00,153.61,154.24,153.31,154.0,21632202,36.4473557217,36.5968370973,36.3761741143,36.5398918114,86528808,0.0,1.0
AAPL,2017-05-30 00:00:00+00:00,153.67,154.43,153.33,153.42,20034934,36.4615920432,36.641918782,36.3809195548,36.402274037,80139736,0.0,1.0
AAPL,2017-05-31 00:00:00+00:00,152.76,154.17,152.38,153.97,23162873,36.2456745007,36.5802280556,36.1555111313,36.5327736507,92651492,0.0,1.0
AAPL,2017-06-01 00:00:00+00:00,153.18,153.33,152.22,153.17,16180143,36.3453287511,36.3809195548,36.1175476073,36.3429560309,64720572,0.0,1.0
AAPL,2017-06-02 00:00:00+00:00,155.45,155.45,152.89,153.58,27285861,36.8839362473,36.8839362473,36.2765198639,36.440237561,109143444,0.0,1.0
AAPL,2017-06-05 00:00:00+00:00,153.93,154.45,153.46,154.34,24803858,36.5232827697,36.6466642225,36.411764918,36.6205642998,99215432,0.0,1.0
AAPL,2017-06-06 00:00:00+00:00,154.45,155.81,153.78,153.9,26249630,36.6466642225,36.9693541762,36.487691966,36.5161646089,104998520,0.0,1.0
AAPL,2017-06-07 00:00:00+00:00,155.37,155.98,154.48,155.02,20678772,36.8649544853,37.0096904204,36.6537823833,36.7819092766,82715088,0.0,1.0
AAPL,2017-06-08 00:00:00+00:00,154.99,155.54,154.4,155.25,20771367,36.7747911159,36.9052907295,36.6348006213,36.8364818423,83085468,0.0,1.0
AAPL,2017-06-09 00:00:00+00:00,148.98,155.19,146.02,155.19,64882700,35.3487862472,36.8222455209,34.6464610539,36.8222455209,259530800,0.0,1.0
AAPL,2017-06-12 00:00:00+00:00,145.42,146.09,142.51,145.74,71563614,34.5040978391,34.6630700956,33.813636247,34.580024887,286254456,0.0,1.0
AAPL,2017-06-13 00:00:00+00:00,146.59,147.45,145.15,147.16,33749154,34.781706108,34.9857600493,34.4400343924,34.9169511621,134996616,0.0,1.0
AAPL,2017-06-14 00:00:00+00:00,145.16,147.5,143.84,147.5,31224203,34.4424071126,34.9976236505,34.1292080399,34.9976236505,124896812,0.0,1.0
AAPL,2017-06-15 00:00:00+00:00,144.29,144.4798,142.21,143.32,31348832,34.2359804511,34.2810146814,33.7424546396,34.0058265871,125395328,0.0,1.0
AAPL,2017-06-16 00:00:00+00:00,142.27,144.5,142.2,143.78,49180748,33.7566909611,34.2858075763,33.7400819194,34.1149717185,196722992,0.0,1.0
AAPL,2017-06-19 00:00:00+00:00,146.34,146.74,143.66,143.66,31449132,34.7223881018,34.8172969117,34.0864990755,34.0864990755,125796528,0.0,1.0
AAPL,2017-06-20 00:00:00+00:00,145.01,146.87,144.94,146.87,24572170,34.4068163089,34.8481422749,34.3902072672,34.8481422749,98288680,0.0,1.0
AAPL,2017-06-21 00:00:00+00:00,145.87,146.0693,144.61,145.52,21064679,34.6108702502,34.6581585647,34.311907499,34.5278250415,84258716,0.0,1.0
AAPL,2017-06-22 00:00:00+00:00,145.63,146.7,145.1199,145.77,18673365,34.5539249642,34.8078060307,34.4328925044,34.5871430477,74693460,0.0,1.0
AAPL,2017-06-23 00:00:00+00:00,146.28,147.16,145.11,145.13,25997976,34.7081517803,34.9169511621,34.4305435114,34.4352889519,103991904,0.0,1.0
AAPL,2017-06-26 00:00:00+00:00,145.82,148.28,145.38,147.17,25524661,34.599006649,35.1826958298,34.4946069581,34.9193238824,102098644,0.0,1.0
AAPL,2017-06-27 00:00:00+00:00,143.73,146.16,143.62,145.01,24423643,34.1031081172,34.6796791374,34.0770081945,34.4068163089,97694572,0.0,1.0
AAPL,2017-06-28 00:00:00+00:00,145.83,146.11,143.1601,144.49,21915939,34.6013793692,34.6678155361,33.9678867903,34.283434856,87663756,0.0,1.0
AAPL,2017-06-29 00:00:00+00:00,143.68,145.13,142.28,144.71,31116980,34.091244516,34.4352889519,33.7590636813,34.3356347015,124467920,0.0,1.0
AAPL,2017-06-30 00:00:00+00:00,144.02,144.96,143.78,144.45,22328979,34.1719170044,34.3949527077,34.1149717185,34.273943975,89315916,0.0,1.0
AAPL,2017-07-03 00:00:00+00:00,143.5,145.3,143.1,144.88,14258300,34.0485355515,34.4756251961,33.9536267416,34.3759709457,57033200,0.0,1.0
AAPL,2017-07-05 00:00:00+00:00,144.09,144.79,142.7237,143.69,20758795,34.1885260461,34.3546164635,33.8643412787,34.0936172362,83035180,0.0,1.0
AAPL,2017-07-06 00:00:00+00:00,142.73,143.5,142.41,143.02,23374374,33.8658360925,34.0485355515,33.7899090446,33.9346449797,93497496,0.0,1.0
AAPL,2017-07-07 00:00:00+00:00,144.18,144.75,142.9,142.9,18505351,34.2098805284,34.3451255825,33.9061723367,33.9061723367,74021404,0.0,1.0
AAPL,2017-07-10 00:00:00+00:00,145.06,145.95,143.37,144.11,21030466,34.4186799101,34.6298520122,34.0176901883,34.1932714866,84121864,0.0,1.0
AAPL,2017-07-11 00:00:00+00:00,145.53,145.85,144.38,144.73,18311156,34.5301977618,34.6061248097,34.2573349333,34.340380142,73244624,0.0,1.0
AAPL,2017-07-12 00:00:00+00:00,145.74,146.18,144.82,145.87,23617964,34.580024887,34.6844245779,34.3617346242,34.6108702502,94471856,0.0,1.0
AAPL,2017-07-13 00:00:00+00:00,147.77,148.49,145.44,145.5,24922788,35.0616870972,35.232522955,34.5088432795,34.523079601,99691152,0.0,1.0
AAPL,2017-07-14 00:00:00+00:00,149.04,149.33,147.33,147.97,19961788,35.3630225686,35.4318314558,34.9572874063,35.1091415022,79847152,0.0,1.0
AAPL,2017-07-17 00:00:00+00:00,149.56,150.9,148.57,148.82,23243713,35.4864040215,35.8043485347,35.251504717,35.3108227232,92974852,0.0,1.0
AAPL,2017-07-18 00:00:00+00:00,150.08,150.13,148.67,149.2,17713795,35.6097854744,35.6216490756,35.2752319195,35.4009860926,70855180,0.0,1.0
AAPL,2017-07-19 00:00:00+00:00,151.02,151.42,149.95,150.48,20615419,35.8328211776,35.9277299875,35.5789401112,35.7046942843,82461676,0.0,1.0
AAPL,2017-07-20 00:00:00+00:00,150.34,151.74,150.19,151.5,17053326,35.6714762008,36.0036570355,35.6358853971,35.9467117495,68213304,0.0,1.0
AAPL,2017-07-21 00:00:00+00:00,150.27,150.44,148.88,149.99,24671002,35.6548671591,35.6952034033,35.3250590447,35.5884309922,98684008,0.0,1.0
AAPL,2017-07-24 00:00:00+00:00,152.09,152.44,149.9,150.58,21122730,36.0867022441,36.1697474528,35.5670765099,35.7284214868,84490920,0.0,1.0
AAPL,2017-07-25 00:00:00+00:00,152.74,153.84,151.8,151.8,18612649,36.2409290602,36.5019282874,36.017893357,36.017893357,74450596,0.0,1.0
AAPL,2017-07-26 00:00:00+00:00,153.46,153.93,153.06,153.35,15172136,36.411764918,36.5232827697,36.3168561081,36.3856649953,60688544,0.0,1.0
